athlete_id,timestamp,world_time,power,hr,speed,cadence,lat,lng,draft,altitude,distance
576041,1776362397968,362346323334,246,123,0,69,40.777975288452865,-73.96858792409822,0,86.11873535156249,0
7681059,1776362397968,362346323370,263,140,0,83,40.777987485396935,-73.96856604898723,0,86.11873535156249,0
6127271,1776362397968,362346323334,276,141,0,70,40.77798138622012,-73.96857698284323,0,86.11873535156249,0
6715306,1776362397968,362346323372,327,133,0,90,40.77799358457375,-73.96855510588249,0,86.11875,0
5870214,1776362397968,362346323227,162,115,0,72,40.77801797352842,-73.96851133808792,0,86.11875732421875,0
1334196,1776362397968,362346323370,391,107,0,77,40.778011875761166,-73.9685222793429,0,86.11875732421875,0
8005377,1776362397968,362346323229,460,132,0,101,40.77800577728913,-73.96853321967302,0,86.11875732421875,0
5292618,1776362397968,362346323351,285,171,0,79,40.777999679521876,-73.96854416092802,0,86.11875732421875,0
576041,1776362398962,362346324335,319,125,0,69,40.777975288452865,-73.96858792409822,0,86.11873535156249,0
7681059,1776362398962,362346324372,279,140,0,83,40.777987485396935,-73.96856604898723,0,86.11873535156249,0
6127271,1776362398962,362346324341,257,141,0,70,40.77798138622012,-73.96857698284323,0,86.11873535156249,0
6715306,1776362398962,362346324185,327,133,0,91,40.77799358457375,-73.96855510588249,0,86.11875,0
5870214,1776362398962,362346324226,177,118,0,72,40.77801797352842,-73.96851133808792,0,86.11875732421875,0
1334196,1776362398962,362346324381,311,108,0,77,40.778011875761166,-73.9685222793429,0,86.11875732421875,0
8005377,1776362398962,362346324226,506,134,0,98,40.77800577728913,-73.96853321967302,0,86.11875732421875,0
5292618,1776362398962,362346324348,285,171,0,81,40.777999679521876,-73.96854416092802,0,86.11875732421875,0
576041,1776362399963,362346325335,443,125,0,68,40.777975288452865,-73.96858792409822,0,86.11873535156249,0
7681059,1776362399963,362346325349,284,141,0,85,40.777987485396935,-73.96856604898723,0,86.11873535156249,0
6127271,1776362399963,362346325140,255,142,0,68,40.77798138622012,-73.96857698284323,0,86.11873535156249,0
6715306,1776362399963,362346325185,488,134,0,92,40.77799358457375,-73.96855510588249,0,86.11875,0
5870214,1776362399963,362346325227,255,120,0,70,40.77801797352842,-73.96851133808792,0,86.11875732421875,0
1334196,1776362399963,362346325171,319,108,0,77,40.778011875761166,-73.9685222793429,0,86.11875732421875,0
8005377,1776362399963,362346325232,445,135,0,97,40.77800577728913,-73.96853321967302,0,86.11875732421875,0
5292618,1776362399963,362346325147,337,172,0,82,40.777999679521876,-73.96854416092802,0,86.11875732421875,0
576041,1776362400965,362346326337,439,125,9.458815,67,40.777967060131935,-73.96858001642872,0,86.11874267578125,0
7681059,1776362400965,362346326364,304,140,8.082705,88,40.77798053554917,-73.96855946943626,0,86.11875,0
8005377,1776362400965,362346326231,444,135,8.60229,98,40.77799859979702,-73.96852895415587,0,86.11875732421875,0
1334196,1776362400965,362346326372,245,108,7.047679,78,40.778004865302215,-73.96851819140149,0,86.11875,0
6715306,1776362400965,362346326173,657,134,8.997655,95,40.7779875354364,-73.96854960565905,0,86.1187646484375,0
5870214,1776362400965,362346326219,374,122,7.771297,71,40.77801189408548,-73.96850756737815,0,86.1187646484375,0
5292618,1776362400965,362346326146,339,171,7.236139,84,40.77799486798038,-73.96854057611785,0,86.1187646484375,0
6127271,1776362400965,362346326144,260,143,4.934772,65,40.77797869607014,-73.96857440337068,0,86.11873535156249,0
6715306,1776362401975,362346327176,649,135,15.420583,98,40.77796136197564,-73.96852719134674,0,86.11875732421875,0
576041,1776362401975,362346327337,451,126,14.944546,66,40.77794214611525,-73.96855590774793,0,86.11874267578125,0
8005377,1776362401975,362346327231,472,136,14.403057,97,40.77797048889265,-73.96851886378461,0,86.11875732421875,0
7681059,1776362401975,362346327369,330,141,13.012334,93,40.777957607606,-73.96854139370612,0,86.11875,0
5292618,1776362401975,362346327145,346,171,13.0429,84,40.77797143541385,-73.96852618230962,0,86.11875732421875,0
5870214,1776362401975,362346327220,494,124,14.400578,74,40.777983677463915,-73.96850639001403,0,86.11875732421875,0
1334196,1776362401975,362346327157,233,108,10.115997,80,40.77798819229251,-73.96851514209314,0,86.1187646484375,0
6127271,1776362401975,362346327135,355,143,10.332398,63,40.77796313731958,-73.96855942689207,0,86.11875,0
6715306,1776362402963,362346328178,574,136,19.31526,100,40.77792364490303,-73.96849811979408,0,86.11875732421875,0
